Order ID,Product Name,Category,Price (INR),Quantity Sold,Total Sales (INR),Order Date,Payment Method,Customer Rating,Month,Year,Day
ORD00027,Jeans,Clothing,38927.62,4,155710.48,24-08-2024,Wallet,2.5,August,2024,Saturday
ORD00028,Mixer Grinder,Home & Kitchen,28978.47,4,115913.88,21-07-2024,UPI,2.3,July,2024,Sunday
ORD00029,Lipstick,Beauty,21293.42,5,106467.1,16-04-2024,Wallet,2.2,April,2024,Tuesday
ORD00030,Lipstick,Beauty,49097.01,4,196388.04,05-08-2024,Credit Card,3.7,August,2024,Monday
ORD00031,Perfume,Beauty,47651.19,1,47651.19,14-04-2024,Net Banking,3.6,April,2024,Sunday
ORD00032,Hair Dryer,Beauty,15046.01,5,75230.05,17-10-2024,COD,1.1,October,2024,Thursday
ORD00033,Laptop,Electronics,36980.1,3,110940.3,01-10-2024,COD,3.2,October,2024,Tuesday
ORD00034,Table Lamp,Home & Kitchen,38144.67,2,76289.34,15-07-2024,Net Banking,3.1,July,2024,Monday
ORD00035,Laptop,Electronics,49355.45,2,98710.9,01-05-2024,COD,3.5,May,2024,Wednesday
ORD00036,Shampoo,Beauty,12945.96,3,38837.88,10-06-2024,Wallet,1.4,June,2024,Monday
ORD00037,Perfume,Beauty,34927.79,4,139711.16,27-06-2024,Credit Card,1.1,June,2024,Thursday
ORD00038,Table Lamp,Home & Kitchen,3677.4,3,11032.2,31-07-2024,UPI,3.7,July,2024,Wednesday
ORD00039,Comic Book,Books,37004.54,4,148018.16,26-10-2024,Debit Card,4,October,2024,Saturday
ORD00040,Cookbook,Books,27961.78,5,139808.9,23-02-2024,Net Banking,4,February,2024,Friday
ORD00041,Comic Book,Books,2655.8,2,5311.6,12-02-2024,Net Banking,3.7,February,2024,Monday
ORD00042,Headphones,Electronics,965.51,4,3862.04,06-06-2024,COD,3.5,June,2024,Thursday
ORD00043,Bedsheet,Home & Kitchen,2980.08,3,8940.24,14-12-2024,Net Banking,4.2,December,2024,Saturday
ORD00044,Mixer Grinder,Home & Kitchen,8598.58,1,8598.58,09-10-2024,Debit Card,1.1,October,2024,Wednesday
ORD00045,Shampoo,Beauty,31850.15,2,63700.3,14-04-2024,Net Banking,2.8,April,2024,Sunday
ORD00046,Smartwatch,Electronics,33443.32,5,167216.6,15-02-2024,UPI,2.4,February,2024,Thursday
ORD00047,Jacket,Clothing,29592.5,5,147962.5,25-07-2024,Net Banking,4.7,July,2024,Thursday
ORD00048,Hair Dryer,Beauty,11187.38,4,44749.52,22-06-2024,Wallet,2.3,June,2024,Saturday
ORD00049,Bedsheet,Home & Kitchen,23898.58,5,119492.9,28-11-2024,Credit Card,3.3,November,2024,Thursday
ORD00050,Comic Book,Books,1391.49,4,5565.96,11-08-2024,Credit Card,4.5,August,2024,Sunday
ORD00051,Jeans,Clothing,18607.69,5,93038.45,10-09-2024,COD,2.4,September,2024,Tuesday
ORD00052,Fiction Novel,Books,46224.88,3,138674.64,30-10-2024,Credit Card,4.1,October,2024,Wednesday
ORD00053,Tablet,Electronics,11864.13,5,59320.65,11-11-2024,Debit Card,1.3,November,2024,Monday
ORD00054,Comic Book,Books,7757.2,5,38786,22-11-2024,Wallet,2.2,November,2024,Friday
ORD00055,Smartwatch,Electronics,29745,1,29745,04-10-2024,UPI,3.6,October,2024,Friday
ORD00056,Jeans,Clothing,39176.54,5,195882.7,04-04-2024,Net Banking,4.1,April,2024,Thursday
ORD00057,Jeans,Clothing,18075.19,5,90375.95,03-09-2024,Debit Card,1.7,September,2024,Tuesday
ORD00058,Self-Help Book,Books,18830.59,4,75322.36,16-05-2024,Net Banking,3.6,May,2024,Thursday
ORD00059,Headphones,Electronics,38476.48,4,153905.92,30-08-2024,Credit Card,2,August,2024,Friday
ORD00060,Laptop,Electronics,27120.36,2,54240.72,13-06-2024,Credit Card,3.8,June,2024,Thursday
ORD00061,Cookbook,Books,31627,5,158135,28-07-2024,Debit Card,3.1,July,2024,Sunday
ORD00062,Comic Book,Books,14505.79,3,43517.37,10-07-2024,UPI,3.9,July,2024,Wednesday
ORD00063,Smartwatch,Electronics,15229.67,3,45689.01,21-07-2024,Credit Card,2.7,July,2024,Sunday
ORD00064,Table Lamp,Home & Kitchen,2158.12,3,6474.36,02-01-2025,COD,3.4,January,2025,Thursday
ORD00065,Lipstick,Beauty,11106.19,2,22212.38,22-12-2024,Wallet,1.1,December,2024,Sunday
ORD00066,Educational Book,Books,21690.55,2,43381.1,28-11-2024,Credit Card,1.9,November,2024,Thursday
ORD00067,Hair Dryer,Beauty,4225.69,4,16902.76,06-05-2024,Credit Card,2.5,May,2024,Monday
ORD00068,Smartwatch,Electronics,23621.02,1,23621.02,26-02-2024,Wallet,4.7,February,2024,Monday
ORD00069,Educational Book,Books,38937.92,3,116813.76,08-04-2024,Credit Card,3.4,April,2024,Monday
ORD00070,Cookware Set,Home & Kitchen,2707.97,1,2707.97,28-04-2024,Net Banking,1.2,April,2024,Sunday
ORD00071,Face Cream,Beauty,23715.42,4,94861.68,24-03-2024,COD,2,March,2024,Sunday
ORD00072,Tablet,Electronics,9083.5,2,18167,05-07-2024,UPI,1.8,July,2024,Friday
ORD00073,Lipstick,Beauty,26379.35,4,105517.4,07-09-2024,UPI,3,September,2024,Saturday
ORD00074,Jacket,Clothing,34023.96,3,102071.88,13-02-2024,Credit Card,4.6,February,2024,Tuesday
ORD00075,Sneakers,Clothing,1542.1,4,6168.4,25-08-2024,Credit Card,1,August,2024,Sunday
ORD00076,Fiction Novel,Books,42981.08,3,128943.24,25-03-2024,COD,3.8,March,2024,Monday
ORD00077,Sofa Cover,Home & Kitchen,46338.29,5,231691.45,22-03-2024,COD,3.4,March,2024,Friday
ORD00078,Headphones,Electronics,34161.44,1,34161.44,30-06-2024,Wallet,2.4,June,2024,Sunday
ORD00079,Lipstick,Beauty,21317.31,5,106586.55,16-07-2024,Credit Card,4,July,2024,Tuesday
ORD00080,Face Cream,Beauty,46011.84,4,184047.36,01-05-2024,COD,3.3,May,2024,Wednesday
ORD00081,Perfume,Beauty,2097.99,1,2097.99,09-02-2025,Debit Card,3.2,February,2025,Sunday
ORD00082,Smartphone,Electronics,17104.91,3,51314.73,10-12-2024,Credit Card,2.7,December,2024,Tuesday
ORD00083,Sofa Cover,Home & Kitchen,29326.6,3,87979.8,07-11-2024,Credit Card,4.9,November,2024,Thursday
ORD00084,Headphones,Electronics,28892.73,4,115570.92,11-11-2024,COD,1.3,November,2024,Monday
ORD00085,Tablet,Electronics,35033.12,4,140132.48,03-12-2024,UPI,4.7,December,2024,Tuesday
ORD00086,Jeans,Clothing,40069.3,3,120207.9,27-10-2024,Debit Card,2.4,October,2024,Sunday
ORD00087,Comic Book,Books,20613.14,4,82452.56,30-05-2024,UPI,3.4,May,2024,Thursday
ORD00088,Cookware Set,Home & Kitchen,3432,5,17160,12-04-2024,Credit Card,3.4,April,2024,Friday
ORD00089,Shampoo,Beauty,25752.65,3,77257.95,28-06-2024,Net Banking,2.5,June,2024,Friday
ORD00090,Smartwatch,Electronics,30238.47,2,60476.94,24-09-2024,Net Banking,4,September,2024,Tuesday
ORD00091,Bedsheet,Home & Kitchen,34293.38,4,137173.52,01-04-2024,Net Banking,4.4,April,2024,Monday
ORD00092,Perfume,Beauty,19498.32,2,38996.64,23-11-2024,Credit Card,3.6,November,2024,Saturday
ORD00093,T-Shirt,Clothing,39355.59,1,39355.59,22-10-2024,Wallet,2.9,October,2024,Tuesday
ORD00094,Cookbook,Books,26575.86,2,53151.72,23-05-2024,Wallet,2,May,2024,Thursday
ORD00095,Headphones,Electronics,12506.31,3,37518.93,12-01-2025,UPI,1.4,January,2025,Sunday
ORD00096,T-Shirt,Clothing,19180.77,3,57542.31,28-01-2025,Wallet,3.9,January,2025,Tuesday
ORD00097,Bedsheet,Home & Kitchen,8877.51,5,44387.55,31-05-2024,UPI,2.5,May,2024,Friday
ORD00098,Sneakers,Clothing,32348.92,2,64697.84,02-02-2025,Credit Card,3.1,February,2025,Sunday
ORD00099,Smartwatch,Electronics,19375.76,2,38751.52,06-12-2024,Credit Card,2.1,December,2024,Friday
ORD00100,Educational Book,Books,48157.93,1,48157.93,05-09-2024,COD,2.4,September,2024,Thursday
ORD00101,Laptop,Electronics,4360.05,4,17440.2,18-01-2025,Wallet,3.3,January,2025,Saturday
ORD00102,Jacket,Clothing,38093.14,1,38093.14,22-10-2024,Credit Card,3,October,2024,Tuesday
ORD00103,Educational Book,Books,32788.2,5,163941,07-07-2024,Credit Card,4,July,2024,Sunday
ORD00104,Comic Book,Books,42715.55,1,42715.55,14-07-2024,Credit Card,4.4,July,2024,Sunday
ORD00105,Perfume,Beauty,28758.42,5,143792.1,22-09-2024,Net Banking,3.7,September,2024,Sunday
ORD00106,Educational Book,Books,22555.21,2,45110.42,10-05-2024,UPI,4.3,May,2024,Friday
ORD00107,Dress,Clothing,33613.18,1,33613.18,24-08-2024,Wallet,3.5,August,2024,Saturday
ORD00108,T-Shirt,Clothing,44639,5,223195,04-05-2024,Credit Card,1.1,May,2024,Saturday
ORD00109,Jeans,Clothing,11785.4,5,58927,25-06-2024,Wallet,1.6,June,2024,Tuesday
ORD00110,Self-Help Book,Books,30826.72,1,30826.72,04-08-2024,UPI,3.9,August,2024,Sunday
ORD00111,Jacket,Clothing,35811.1,4,143244.4,11-09-2024,Net Banking,1.9,September,2024,Wednesday
ORD00112,Shampoo,Beauty,45387.99,3,136163.97,23-12-2024,COD,4.8,December,2024,Monday
ORD00113,Sofa Cover,Home & Kitchen,39263.94,5,196319.7,05-08-2024,Wallet,3.8,August,2024,Monday
ORD00114,Educational Book,Books,19787.61,1,19787.61,07-10-2024,Debit Card,3.9,October,2024,Monday
ORD00115,Jacket,Clothing,26219.99,4,104879.96,14-03-2024,Debit Card,2.1,March,2024,Thursday
ORD00116,Lipstick,Beauty,14286.02,4,57144.08,25-05-2024,UPI,3.7,May,2024,Saturday
ORD00117,T-Shirt,Clothing,13019.07,3,39057.21,02-02-2025,Credit Card,2.8,February,2025,Sunday
ORD00118,Face Cream,Beauty,43488.42,3,130465.26,18-07-2024,Net Banking,3,July,2024,Thursday
ORD00119,Cookbook,Books,30903.49,4,123613.96,10-09-2024,Net Banking,1.7,September,2024,Tuesday
ORD00120,Table Lamp,Home & Kitchen,37405.46,4,149621.84,15-01-2025,Wallet,1.3,January,2025,Wednesday
ORD00121,Tablet,Electronics,30593.67,4,122374.68,18-05-2024,COD,1.5,May,2024,Saturday
ORD00122,Headphones,Electronics,28688.25,3,86064.75,27-05-2024,UPI,2.4,May,2024,Monday
ORD00123,Hair Dryer,Beauty,12158.96,3,36476.88,21-03-2024,Net Banking,1.1,March,2024,Thursday
ORD00124,Headphones,Electronics,24500.05,3,73500.15,21-04-2024,Credit Card,4.4,April,2024,Sunday
ORD00125,Table Lamp,Home & Kitchen,44412.88,3,133238.64,13-09-2024,COD,1.4,September,2024,Friday
ORD00126,Smartphone,Electronics,26615.97,3,79847.91,26-08-2024,Net Banking,3.6,August,2024,Monday
ORD00127,Jacket,Clothing,3979.4,1,3979.4,02-10-2024,Debit Card,4.6,October,2024,Wednesday
ORD00128,Perfume,Beauty,49687.49,2,99374.98,02-05-2024,UPI,2.5,May,2024,Thursday
ORD00129,Laptop,Electronics,11289.42,3,33868.26,10-08-2024,UPI,2.3,August,2024,Saturday
ORD00130,Dress,Clothing,27309.73,3,81929.19,17-06-2024,Net Banking,4,June,2024,Monday
ORD00131,Laptop,Electronics,30374.4,5,151872,11-01-2025,Net Banking,1.8,January,2025,Saturday
ORD00132,Shampoo,Beauty,15486.41,4,61945.64,20-04-2024,COD,5,April,2024,Saturday
ORD00133,Smartwatch,Electronics,33698.34,1,33698.34,10-08-2024,Debit Card,4.2,August,2024,Saturday
ORD00134,Dress,Clothing,42987.64,5,214938.2,30-03-2024,Wallet,3.7,March,2024,Saturday
ORD00135,Smartwatch,Electronics,1104.25,5,5521.25,28-11-2024,UPI,3.8,November,2024,Thursday
ORD00136,Jacket,Clothing,14043.16,4,56172.64,01-06-2024,Wallet,3.1,June,2024,Saturday
ORD00137,Cookbook,Books,24032.88,1,24032.88,28-10-2024,Wallet,3.8,October,2024,Monday
ORD00138,Face Cream,Beauty,32283.58,3,96850.74,02-01-2025,COD,4.4,January,2025,Thursday
ORD00139,Lipstick,Beauty,3848.54,1,3848.54,03-02-2025,Net Banking,4.6,February,2025,Monday
ORD00140,Cookware Set,Home & Kitchen,48175.48,1,48175.48,10-07-2024,COD,1.5,July,2024,Wednesday
ORD00141,Tablet,Electronics,2273.01,2,4546.02,01-01-2025,UPI,4.3,January,2025,Wednesday
ORD00142,Jacket,Clothing,48346.41,3,145039.23,27-01-2025,Debit Card,1.4,January,2025,Monday
ORD00143,Table Lamp,Home & Kitchen,8383.86,2,16767.72,19-09-2024,Wallet,3.1,September,2024,Thursday
ORD00144,Shampoo,Beauty,15344.02,1,15344.02,16-05-2024,UPI,4,May,2024,Thursday
ORD00145,Smartphone,Electronics,49142.57,4,196570.28,04-03-2024,UPI,4.9,March,2024,Monday
ORD00146,Self-Help Book,Books,45182.27,5,225911.35,30-03-2024,Debit Card,3.1,March,2024,Saturday
ORD00147,Jacket,Clothing,18309.06,2,36618.12,11-05-2024,Net Banking,1.9,May,2024,Saturday
ORD00148,Smartwatch,Electronics,33021.1,4,132084.4,21-08-2024,Debit Card,4.4,August,2024,Wednesday
ORD00149,Jacket,Clothing,42814.17,5,214070.85,27-09-2024,Debit Card,4.2,September,2024,Friday
ORD00150,Perfume,Beauty,5293.87,2,10587.74,31-12-2024,Debit Card,2.7,December,2024,Tuesday
ORD00151,Fiction Novel,Books,16596.58,5,82982.9,02-02-2025,UPI,2.1,February,2025,Sunday
ORD00152,Sneakers,Clothing,48940.95,1,48940.95,20-02-2024,Net Banking,1,February,2024,Tuesday
ORD00153,Jeans,Clothing,10059.45,5,50297.25,23-03-2024,COD,4.3,March,2024,Saturday
ORD00154,Perfume,Beauty,4820.8,1,4820.8,10-12-2024,Wallet,4.3,December,2024,Tuesday
ORD00155,Cookbook,Books,12087.35,4,48349.4,21-11-2024,UPI,2.6,November,2024,Thursday
ORD00156,Face Cream,Beauty,43522.08,5,217610.4,11-09-2024,COD,4.8,September,2024,Wednesday
ORD00157,Smartwatch,Electronics,42409.26,1,42409.26,25-08-2024,Debit Card,2,August,2024,Sunday
ORD00158,Fiction Novel,Books,29882.47,5,149412.35,22-06-2024,Wallet,4.7,June,2024,Saturday
ORD00159,Smartwatch,Electronics,40233.28,5,201166.4,05-01-2025,Wallet,1.9,January,2025,Sunday
ORD00160,Sofa Cover,Home & Kitchen,15357.36,4,61429.44,06-08-2024,Debit Card,1.6,August,2024,Tuesday
ORD00161,Self-Help Book,Books,10565.57,4,42262.28,04-07-2024,Net Banking,1.5,July,2024,Thursday
ORD00162,Fiction Novel,Books,42533.26,4,170133.04,28-11-2024,Debit Card,4.6,November,2024,Thursday
ORD00163,Mixer Grinder,Home & Kitchen,18426.9,4,73707.6,18-10-2024,Debit Card,4.7,October,2024,Friday
ORD00164,Perfume,Beauty,23369.23,1,23369.23,23-11-2024,Credit Card,1.5,November,2024,Saturday
ORD00165,Perfume,Beauty,2735.32,5,13676.6,20-12-2024,Wallet,2.6,December,2024,Friday
ORD00166,Laptop,Electronics,48944.01,3,146832.03,04-07-2024,COD,4.2,July,2024,Thursday
ORD00167,Hair Dryer,Beauty,32590.46,2,65180.92,11-04-2024,Net Banking,2.4,April,2024,Thursday
ORD00168,Hair Dryer,Beauty,35286.97,2,70573.94,09-10-2024,Net Banking,3.3,October,2024,Wednesday
ORD00169,Fiction Novel,Books,42881.03,3,128643.09,29-11-2024,Net Banking,4.4,November,2024,Friday
ORD00170,Shampoo,Beauty,28246.25,2,56492.5,03-06-2024,Net Banking,2.3,June,2024,Monday
ORD00171,Shampoo,Beauty,24619.84,2,49239.68,06-12-2024,Debit Card,4.1,December,2024,Friday
ORD00172,Dress,Clothing,12083.96,3,36251.88,23-11-2024,Wallet,3,November,2024,Saturday
ORD00173,Self-Help Book,Books,12214.72,5,61073.6,14-01-2025,UPI,2.1,January,2025,Tuesday
ORD00174,Fiction Novel,Books,19386.27,1,19386.27,16-07-2024,COD,4.1,July,2024,Tuesday
ORD00175,Educational Book,Books,34879.4,3,104638.2,12-04-2024,UPI,2.5,April,2024,Friday
ORD00176,Laptop,Electronics,32016.11,5,160080.55,27-09-2024,Debit Card,4.3,September,2024,Friday
ORD00177,T-Shirt,Clothing,32264.17,1,32264.17,22-07-2024,Net Banking,4.1,July,2024,Monday
ORD00178,Shampoo,Beauty,30171.74,4,120686.96,29-07-2024,Net Banking,3.8,July,2024,Monday
ORD00179,Dress,Clothing,22712.18,5,113560.9,24-01-2025,COD,3.9,January,2025,Friday
ORD00180,Comic Book,Books,27204.69,1,27204.69,09-02-2025,Debit Card,2.8,February,2025,Sunday
ORD00181,Educational Book,Books,17353.47,1,17353.47,04-12-2024,Credit Card,2.6,December,2024,Wednesday
ORD00182,Sofa Cover,Home & Kitchen,44882.2,1,44882.2,11-05-2024,COD,1.3,May,2024,Saturday
ORD00183,Sofa Cover,Home & Kitchen,47002.72,3,141008.16,05-03-2024,Debit Card,4.1,March,2024,Tuesday
ORD00184,Lipstick,Beauty,33659.67,4,134638.68,05-07-2024,Wallet,3.3,July,2024,Friday
ORD00185,Sofa Cover,Home & Kitchen,13011.44,2,26022.88,25-06-2024,Wallet,4.9,June,2024,Tuesday
ORD00186,Smartphone,Electronics,21990.25,3,65970.75,12-01-2025,Wallet,4.2,January,2025,Sunday
ORD00187,Perfume,Beauty,1927.38,3,5782.14,31-08-2024,Debit Card,2.9,August,2024,Saturday
ORD00188,Laptop,Electronics,21741.53,3,65224.59,02-12-2024,COD,3.5,December,2024,Monday
ORD00189,Sneakers,Clothing,23638.72,1,23638.72,24-09-2024,Credit Card,1.5,September,2024,Tuesday
ORD00190,Hair Dryer,Beauty,39372.11,1,39372.11,13-04-2024,Wallet,4.1,April,2024,Saturday
ORD00191,Fiction Novel,Books,49088.13,4,196352.52,06-03-2024,Wallet,2.3,March,2024,Wednesday
ORD00192,Cookware Set,Home & Kitchen,4524.63,3,13573.89,19-12-2024,UPI,2.4,December,2024,Thursday
ORD00193,Sneakers,Clothing,1507.01,3,4521.03,02-08-2024,Net Banking,2.5,August,2024,Friday
ORD00194,Tablet,Electronics,39699.85,3,119099.55,14-05-2024,Wallet,3.9,May,2024,Tuesday
ORD00195,Face Cream,Beauty,37494.13,5,187470.65,01-10-2024,COD,1.8,October,2024,Tuesday
ORD00196,Smartphone,Electronics,5850.81,5,29254.05,28-11-2024,COD,1.3,November,2024,Thursday
ORD00197,Self-Help Book,Books,16448.74,4,65794.96,04-09-2024,Net Banking,4.6,September,2024,Wednesday
ORD00198,Smartwatch,Electronics,11103.44,1,11103.44,09-05-2024,Wallet,1.1,May,2024,Thursday
ORD00199,Self-Help Book,Books,34255.39,2,68510.78,18-02-2024,UPI,2.9,February,2024,Sunday
ORD00200,Smartwatch,Electronics,18304.18,2,36608.36,30-09-2024,Debit Card,1.6,September,2024,Monday
ORD00201,Table Lamp,Home & Kitchen,12771.91,2,25543.82,11-07-2024,Wallet,3.2,July,2024,Thursday
ORD00202,Comic Book,Books,2275.09,2,4550.18,27-06-2024,Debit Card,1.5,June,2024,Thursday
ORD00203,Sneakers,Clothing,16468.59,4,65874.36,24-10-2024,Net Banking,4.5,October,2024,Thursday
ORD00204,Cookware Set,Home & Kitchen,4934.99,3,14804.97,16-10-2024,Credit Card,4.6,October,2024,Wednesday
ORD00205,Table Lamp,Home & Kitchen,5258.29,5,26291.45,23-08-2024,Wallet,2.5,August,2024,Friday
ORD00206,Hair Dryer,Beauty,32580,5,162900,27-03-2024,COD,2.7,March,2024,Wednesday
ORD00207,Sofa Cover,Home & Kitchen,40298.9,1,40298.9,17-06-2024,Debit Card,1.2,June,2024,Monday
ORD00208,Tablet,Electronics,11236.19,3,33708.57,02-11-2024,COD,2.6,November,2024,Saturday
ORD00209,Self-Help Book,Books,32537.46,5,162687.3,28-10-2024,UPI,3.4,October,2024,Monday
ORD00210,Jeans,Clothing,6953.88,1,6953.88,14-05-2024,UPI,2.9,May,2024,Tuesday
ORD00211,Bedsheet,Home & Kitchen,32824.05,3,98472.15,02-09-2024,Credit Card,3.6,September,2024,Monday
ORD00212,Sneakers,Clothing,34459.99,3,103379.97,05-10-2024,Debit Card,1.4,October,2024,Saturday
ORD00213,Educational Book,Books,13608.58,3,40825.74,05-04-2024,UPI,4.6,April,2024,Friday
ORD00214,Mixer Grinder,Home & Kitchen,32630.83,2,65261.66,22-12-2024,UPI,4.7,December,2024,Sunday
ORD00215,Laptop,Electronics,24818.77,4,99275.08,14-11-2024,Debit Card,2.3,November,2024,Thursday
ORD00216,Cookbook,Books,36645.35,3,109936.05,26-12-2024,Debit Card,2.5,December,2024,Thursday
ORD00217,Jeans,Clothing,25668.96,3,77006.88,08-06-2024,Debit Card,4.8,June,2024,Saturday
ORD00218,Dress,Clothing,44241.68,4,176966.72,18-09-2024,COD,1.4,September,2024,Wednesday
ORD00219,Headphones,Electronics,39749.19,1,39749.19,19-07-2024,COD,3.5,July,2024,Friday
ORD00220,Tablet,Electronics,37578.46,2,75156.92,08-06-2024,Net Banking,4.4,June,2024,Saturday
ORD00221,Smartphone,Electronics,37203.65,4,148814.6,14-05-2024,Wallet,3.5,May,2024,Tuesday
ORD00222,Self-Help Book,Books,22851.63,1,22851.63,14-05-2024,Wallet,1,May,2024,Tuesday
ORD00223,Hair Dryer,Beauty,27627.84,4,110511.36,30-03-2024,UPI,1.8,March,2024,Saturday
ORD00224,Self-Help Book,Books,31333.95,3,94001.85,21-08-2024,Debit Card,1.7,August,2024,Wednesday
ORD00225,Bedsheet,Home & Kitchen,30911.44,5,154557.2,06-04-2024,Debit Card,3,April,2024,Saturday
ORD00226,Laptop,Electronics,11518.23,1,11518.23,30-01-2025,Debit Card,4.4,January,2025,Thursday
ORD00227,Jeans,Clothing,43304.55,5,216522.75,28-12-2024,UPI,2.6,December,2024,Saturday
ORD00228,Self-Help Book,Books,3710.07,3,11130.21,20-02-2024,Credit Card,4.2,February,2024,Tuesday
ORD00229,Perfume,Beauty,34621.21,2,69242.42,06-01-2025,Wallet,1.8,January,2025,Monday
ORD00230,Headphones,Electronics,41742.29,5,208711.45,15-07-2024,COD,2.6,July,2024,Monday
ORD00231,Bedsheet,Home & Kitchen,46858.63,1,46858.63,02-11-2024,Debit Card,3.5,November,2024,Saturday
ORD00232,Smartwatch,Electronics,5413.09,1,5413.09,20-05-2024,UPI,3.4,May,2024,Monday
ORD00233,Laptop,Electronics,5880.45,1,5880.45,09-09-2024,Net Banking,2,September,2024,Monday
ORD00234,Comic Book,Books,35665.26,3,106995.78,30-03-2024,Wallet,1.2,March,2024,Saturday
ORD00235,Headphones,Electronics,42981.89,5,214909.45,02-01-2025,Credit Card,1.8,January,2025,Thursday
ORD00236,Comic Book,Books,25629.88,3,76889.64,03-09-2024,Debit Card,2.9,September,2024,Tuesday
ORD00237,Perfume,Beauty,22475.94,4,89903.76,13-02-2024,Debit Card,3.5,February,2024,Tuesday
ORD00238,Sofa Cover,Home & Kitchen,33250.7,5,166253.5,19-10-2024,Wallet,4.3,October,2024,Saturday
ORD00239,Cookbook,Books,45045.03,5,225225.15,02-01-2025,Net Banking,3.8,January,2025,Thursday
ORD00240,Bedsheet,Home & Kitchen,3955.86,5,19779.3,18-06-2024,Net Banking,4.7,June,2024,Tuesday
ORD00241,Perfume,Beauty,28169.11,5,140845.55,04-05-2024,UPI,2.7,May,2024,Saturday
ORD00242,Face Cream,Beauty,42785.51,4,171142.04,13-11-2024,COD,1.7,November,2024,Wednesday
ORD00243,Smartphone,Electronics,25614.35,2,51228.7,12-08-2024,Wallet,3.5,August,2024,Monday
ORD00244,Mixer Grinder,Home & Kitchen,7771.58,5,38857.9,17-08-2024,Debit Card,3.6,August,2024,Saturday
ORD00245,Cookbook,Books,31059.47,3,93178.41,15-05-2024,Wallet,4.8,May,2024,Wednesday
ORD00246,Educational Book,Books,14506.11,5,72530.55,16-06-2024,Debit Card,3.5,June,2024,Sunday
ORD00247,Smartwatch,Electronics,16272.38,3,48817.14,15-06-2024,Debit Card,1.4,June,2024,Saturday
ORD00248,T-Shirt,Clothing,29222.92,3,87668.76,16-10-2024,Debit Card,2.7,October,2024,Wednesday
ORD00249,Educational Book,Books,1483.5,5,7417.5,04-11-2024,Debit Card,4.3,November,2024,Monday
ORD00250,Self-Help Book,Books,35629.55,2,71259.1,01-02-2025,Wallet,2,February,2025,Saturday
ORD00251,Jacket,Clothing,1987.98,4,7951.92,23-02-2024,UPI,3.3,February,2024,Friday
